,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
0,62.0,65.0,46.0,2.0,1091.0,15.02497541294224,2.5951558117243856,62.0,65.0,46.0,0,0,0
1,19.0,65.0,56.0,2.0,1517.0,441.02497541294224,262.7681164963079,19.0,65.0,56.0,0,0,0
2,17.0,65.0,25.0,2.0,1208.0,132.02497541294224,75.65678910544172,17.0,65.0,25.0,0,0,0
3,2.0,65.0,56.0,2.0,1101.0,25.02497541294224,4.055597385869474,2.0,65.0,56.0,0,0,0
4,65.0,64.0,60.0,2.0,1403.0,327.02497541294224,220.15488993215155,65.0,64.0,60.0,0,0,0
5,26.0,64.0,52.0,2.0,1483.0,407.02497541294224,234.27472592237743,26.0,64.0,52.0,0,0,0
6,17.0,64.0,49.0,2.0,1325.0,249.02497541294224,124.69300365194545,17.0,64.0,49.0,0,0,0
7,10.0,64.0,55.0,2.0,1261.0,185.02497541294224,97.18832052795274,10.0,64.0,55.0,0,0,0
8,23.0,62.0,49.0,2.0,1387.0,311.02497541294224,161.65032216213473,23.0,62.0,49.0,0,0,0
9,14.0,59.0,47.0,2.0,1448.0,372.02497541294224,185.072246536455,14.0,59.0,47.0,0,0,0
10,29.0,58.0,32.0,2.0,1751.0,675.0249754129422,285.35320306075494,29.0,58.0,32.0,0,0,0
11,14.0,58.0,64.0,2.0,1383.0,307.02497541294224,162.71778120978905,14.0,58.0,64.0,0,0,0
12,4.0,58.0,19.0,2.0,1203.0,127.02497541294224,37.4593923134441,4.0,58.0,19.0,0,0,0
13,59.0,57.0,6.0,2.0,1352.0,276.02497541294224,121.6110548823001,59.0,57.0,6.0,0,0,0
14,32.0,57.0,46.0,2.0,1377.0,301.02497541294224,152.82561867619265,32.0,57.0,46.0,0,0,0
15,20.0,57.0,59.0,2.0,1983.0,907.0249754129422,411.30465602169863,20.0,57.0,59.0,0,0,0
16,8.0,57.0,53.0,2.0,1289.0,213.02497541294224,132.0444236700294,8.0,57.0,53.0,0,0,0
17,19.0,56.0,42.0,2.0,1253.0,177.02497541294224,114.5579878297183,19.0,56.0,42.0,0,0,0
18,26.0,55.0,58.0,2.0,1722.0,646.0249754129422,301.1315202184615,26.0,55.0,58.0,0,0,0
19,22.0,55.0,34.0,2.0,1633.0,557.0249754129422,265.8937494046907,22.0,55.0,34.0,0,0,0
20,18.0,55.0,27.0,2.0,1773.0,697.0249754129422,325.61681395939354,18.0,55.0,27.0,0,0,0
21,17.0,54.0,53.0,2.0,1584.0,508.02497541294224,237.36378613078307,17.0,54.0,53.0,0,0,0
22,9.0,54.0,59.0,2.0,1514.0,438.02497541294224,200.37113696052012,9.0,54.0,59.0,0,0,0
23,6.0,54.0,7.0,2.0,1419.0,343.02497541294224,189.34201802397695,6.0,54.0,7.0,0,0,0
24,16.0,53.0,59.0,2.0,1819.0,743.0249754129422,256.4845621663353,16.0,53.0,59.0,0,0,0
25,32.0,52.0,31.0,2.0,1536.0,460.02497541294224,229.8047107818289,32.0,52.0,31.0,0,0,0
26,20.0,52.0,20.0,2.0,1559.0,483.02497541294224,304.549712677329,20.0,52.0,20.0,0,0,0
27,2.0,52.0,21.0,2.0,1134.0,58.02497541294224,10.445847783474688,2.0,52.0,21.0,0,0,0
28,48.0,51.0,4.0,2.0,1798.0,722.0249754129422,302.6397005817676,48.0,51.0,4.0,0,0,0
29,36.0,51.0,44.0,2.0,1338.0,262.02497541294224,168.59178159175954,36.0,51.0,44.0,0,0,0
30,13.0,51.0,43.0,2.0,1438.0,362.02497541294224,204.83076474851143,13.0,51.0,43.0,0,0,0
