X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
20.0,52.0,20.0,2.0,1559.0,483.02497541294224,304.549712677329,2.0,-0.22661376176065795,89.0,231.0,20.0,40.0,104.0,40.0,20.0,52.0,20.0,89.0,231.0,20.0,40.0,104.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36.0,51.0,44.0,2.0,1338.0,262.02497541294224,168.59178159175954,4.0,-0.21697528556735318,160.0,227.0,44.0,72.0,102.0,88.0,36.0,51.0,44.0,160.0,227.0,44.0,72.0,102.0,88.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2
19.0,50.0,36.0,2.0,1525.0,449.02497541294224,285.446696599939,1.0,-0.22271557235788716,84.0,222.0,36.0,38.0,100.0,72.0,19.0,50.0,36.0,84.0,222.0,36.0,38.0,100.0,72.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3
52.0,45.0,31.0,2.0,1257.0,181.02497541294224,67.24024832518425,4.0,-0.45831923365867644,231.0,200.0,31.0,104.0,90.0,62.0,52.0,45.0,31.0,231.0,200.0,31.0,104.0,90.0,62.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4
42.0,45.0,41.0,2.0,1369.0,293.02497541294224,177.4642634916834,3.0,-0.24561818287343343,187.0,200.0,41.0,84.0,90.0,82.0,42.0,45.0,41.0,187.0,200.0,41.0,84.0,90.0,82.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5
22.0,42.0,27.0,2.0,1403.0,327.02497541294224,166.24576454066147,1.0,-0.325945161246344,98.0,187.0,27.0,44.0,84.0,54.0,22.0,42.0,27.0,98.0,187.0,27.0,44.0,84.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6
19.0,41.0,42.0,2.0,1423.0,347.02497541294224,183.1114054873559,2.0,-0.30919132478178907,84.0,182.0,42.0,38.0,82.0,84.0,19.0,41.0,42.0,84.0,182.0,42.0,38.0,82.0,84.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7
46.0,38.0,46.0,2.0,1367.0,291.02497541294224,123.92142496438677,3.0,-0.4027111701574007,204.0,169.0,46.0,92.0,76.0,92.0,46.0,38.0,46.0,204.0,169.0,46.0,92.0,76.0,92.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8
19.0,37.0,33.0,2.0,1654.0,578.0249754129422,344.66009466840933,1.0,-0.2529193202659685,84.0,164.0,33.0,38.0,74.0,66.0,19.0,37.0,33.0,84.0,164.0,33.0,38.0,74.0,66.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9
22.0,35.0,18.0,2.0,1436.0,360.02497541294224,174.5745010389415,1.0,-0.3468961017411174,98.0,156.0,18.0,44.0,70.0,36.0,22.0,35.0,18.0,98.0,156.0,18.0,44.0,70.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10
