,taskID,compID,processID,threadID,start,stop,width
0,1,1,16056,21524,5.357821941375732,5.415820837020874,0.0579988956451416
1,1,2,16056,21524,5.415820837020874,5.686824321746826,0.27100348472595215
2,1,3,16056,21524,5.692825078964233,6.338827848434448,0.6460027694702148
3,1,4,16056,21524,6.338827848434448,6.412827014923096,0.07399916648864746
4,1,5,16056,21524,6.412827014923096,6.796828985214233,0.3840019702911377
5,1,6,16056,21524,6.796828985214233,6.955832242965698,0.15900325775146484
6,1,7,16056,21524,6.956833124160767,6.9578351974487305,0.0010020732879638672
7,1,8,16056,21524,0.0,0.0,0.0
8,1,9,16056,21524,0.0,0.0,0.0
9,1,10,16056,21524,6.958834171295166,6.974833011627197,0.01599884033203125
10,1,11,16056,21524,6.974833011627197,6.974833011627197,0.0
11,2,1,14156,9088,5.3648223876953125,5.4408228397369385,0.07600045204162598
12,2,2,14156,9088,5.4408228397369385,5.714822053909302,0.2739992141723633
13,2,3,14156,9088,5.7208240032196045,6.373828649520874,0.6530046463012695
14,2,4,14156,9088,6.373828649520874,6.451829433441162,0.07800078392028809
15,2,5,14156,9088,6.451829433441162,6.937833070755005,0.4860036373138428
16,2,6,14156,9088,6.937833070755005,7.13383412361145,0.1960010528564453
17,2,7,14156,9088,7.134833812713623,7.13583517074585,0.0010013580322265625
18,2,8,14156,9088,0.0,0.0,0.0
19,2,9,14156,9088,0.0,0.0,0.0
20,2,10,14156,9088,7.136833906173706,7.152835369110107,0.016001462936401367
21,2,11,14156,9088,7.152835369110107,7.152835369110107,0.0
22,3,1,16056,21524,6.9788312911987305,7.019834280014038,0.04100298881530762
23,3,2,16056,21524,7.019834280014038,7.230835914611816,0.21100163459777832
24,3,3,16056,21524,7.236835241317749,7.878840923309326,0.6420056819915771
25,3,4,16056,21524,7.878840923309326,7.960837364196777,0.08199644088745117
26,3,5,16056,21524,7.960837364196777,8.374841451644897,0.4140040874481201
27,3,6,16056,21524,8.374841451644897,8.590845584869385,0.2160041332244873
28,3,7,16056,21524,8.591846227645874,8.592846870422363,0.0010006427764892578
29,3,8,16056,21524,0.0,0.0,0.0
30,3,9,16056,21524,0.0,0.0,0.0
31,3,10,16056,21524,8.593847036361694,8.61384654045105,0.01999950408935547
32,3,11,16056,21524,8.61384654045105,8.61384654045105,0.0
33,4,1,14156,9088,7.155831813812256,7.198832988739014,0.04300117492675781
34,4,2,14156,9088,7.198832988739014,7.4228355884552,0.22400259971618652
35,4,3,14156,9088,7.428835153579712,8.083841800689697,0.6550066471099854
36,4,4,14156,9088,8.083841800689697,8.170842170715332,0.08700037002563477
37,4,5,14156,9088,8.170842170715332,8.654844760894775,0.48400259017944336
38,4,6,14156,9088,8.654844760894775,8.841846704483032,0.18700194358825684
39,4,7,14156,9088,8.842847347259521,8.843847513198853,0.0010001659393310547
40,4,8,14156,9088,0.0,0.0,0.0
41,4,9,14156,9088,0.0,0.0,0.0
42,4,10,14156,9088,8.844846963882446,8.859846591949463,0.014999628067016602
43,4,11,14156,9088,8.859846591949463,8.859846591949463,0.0
44,5,1,16056,21524,8.61784553527832,8.66684365272522,0.048998117446899414
45,5,2,16056,21524,8.66684365272522,8.808845281600952,0.14200162887573242
46,5,3,16056,21524,8.813847303390503,9.225850105285645,0.4120028018951416
47,5,4,16056,21524,9.225850105285645,9.276849508285522,0.05099940299987793
48,5,5,16056,21524,9.276849508285522,9.572850942611694,0.2960014343261719
49,5,6,16056,21524,9.572850942611694,9.784853219985962,0.21200227737426758
50,5,7,16056,21524,9.78585410118103,9.786854982376099,0.0010008811950683594
51,5,8,16056,21524,0.0,0.0,0.0
52,5,9,16056,21524,0.0,0.0,0.0
53,5,10,16056,21524,9.787854194641113,9.802852869033813,0.014998674392700195
54,5,11,16056,21524,9.802852869033813,9.802852869033813,0.0
55,6,1,14156,9088,8.862843990325928,8.905845642089844,0.043001651763916016
56,6,2,14156,9088,8.905845642089844,9.060845613479614,0.1549999713897705
57,6,3,14156,9088,9.06584620475769,9.48385214805603,0.41800594329833984
58,6,4,14156,9088,9.48385214805603,9.53385329246521,0.05000114440917969
